Star_name,Distance,Mass,Radius,star_name,distance,mass,radius,gravity
Canopus,310.0,15.0,71.0,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,0.8161153386021839
Acrux,320.0,18.0,8.9,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,62.32603088337749
Spica,260.0,11.43,7.47,SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999,56.18003500809
Mimosa,350.0,16.0,8.4,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,62.19255361895101
Bellatrix,240.0,8.6,5.8,DEN 0255-4700,16.2,0.07636704,0.0996801099999999,70.11637302474244
Sargas,270.0,5.7,26.0,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,2.3126245862715558
Peacock,180.0,5.9,4.8,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,70.23385645015132
Alphard,180.0,3.0,50.0,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,0.3291229937514887
Scheat,196.0,2.1,95.0,2MASS J0523−1403,40.0,0.064911984,0.10379063,0.0638188630543053
Polaris Australis,281.0,1.59,3.74,LHS 2021,55.0,0.084003744,0.1181774499999999,31.17675417660804
Mira,300.0,1.2,370.0,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,0.0024041124452263
